sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DIATSA_LOCUS10864,control,infected,568.597672131358,5.82280376645984,287.210237948909,6.66047475801927,0.392017083074632,16.9902666123131,1.46278548338778e-47,2.16325076057576e-44
DIATSA_LOCUS6947,control,infected,332.085111868752,7.05364734348158,169.569379606117,5.55125538490113,0.35253431107184,15.7467094990646,1.97378197652498e-38,2.27028789122073e-35
DIATSA_LOCUS10860,control,infected,621.34496766416,16.4935742249615,318.919270944561,5.27132747529472,0.256798167014856,20.5271226682462,2.00930710230172e-62,4.16006942460547e-59
DIATSA_LOCUS7641,control,infected,19.5971150587974,0.585488437803656,10.0913017483005,4.8009779155912,1.12445328618223,4.26961081850862,0.000362171437793209,0.0200491910376219
DIATSA_LOCUS5005,control,infected,16.536386798051,0.583182977189084,8.55978488762006,4.56518392773553,1.14362811274861,3.99184304481943,0.000912735957138876,0.0430586949933017
DIATSA_LOCUS12033,control,infected,22.2756411576932,0.871853818566102,11.5737474881297,4.43593971385249,0.975874971990409,4.54560250152218,0.000215070455302751,0.0128694182271334
DIATSA_LOCUS10783,control,infected,26.775905375558,1.16000739063836,13.9679563830982,4.27729105926855,0.860249582112106,4.97215127819864,6.95687651892108e-05,0.00493271135095007
DIATSA_LOCUS2143,control,infected,19.412070277794,1.15325824425043,10.2826642610222,4.20263284133818,0.976253778400154,4.30485692790382,0.000518104846849737,0.0266836884307885
DIATSA_LOCUS10639,control,infected,51.4440980870033,3.76802189487682,27.6060599909401,3.87245132355198,0.543317300566535,7.12742134202987,6.22113805050393e-08,8.82208508202969e-06
DIATSA_LOCUS8148,control,infected,37.1601676514007,2.92669374897695,20.0434307001888,3.73402572353079,0.661340153096823,5.6461500274037,1.78198322164081e-05,0.00151205658282178
DIATSA_LOCUS8780,control,infected,25.0082659755687,1.74370712669676,13.3759865511327,3.62203405544496,0.754244277641397,4.8022028974107,0.000254123370325852,0.0148626278509221
DIATSA_LOCUS453,control,infected,21.4333503475121,1.74213439822046,11.5877423728663,3.61098370559393,0.805301606963735,4.48401403197068,0.000592968892863509,0.0296541738112225
DIATSA_LOCUS4153,control,infected,20.784040733381,1.75762035275,11.2708305430655,3.56186230813881,0.806028546172225,4.41902749605315,0.000740518691554484,0.0361596674291133
