sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DIATSA_LOCUS2921,control,infected,1997.23226716397,4848.08059260205,3422.65642988301,-1.27911684482569,0.0895996516955453,-14.2759131382793,0.000919239914366275,0.0430586949933017
DIATSA_LOCUS3060,control,infected,653.585358092298,1606.45694718621,1130.02115263925,-1.29360959963122,0.0874841466611601,-14.7867887954783,0.000395183659795836,0.021418540556055
DIATSA_LOCUS6471,control,infected,3715.35590412461,9396.47645383766,6555.91617898114,-1.33844745123081,0.0638959948410827,-20.9472824479796,5.89089467876219e-08,8.46979746035364e-06
DIATSA_LOCUS7417,control,infected,226.747055819473,581.244204022036,403.995629920755,-1.35859569099534,0.113702835633718,-11.9486526736406,0.000805805030005464,0.0384409846572192
DIATSA_LOCUS6569,control,infected,7672.40426808205,19684.0226956305,13678.2134818563,-1.35926870142385,0.0725741697211704,-18.7293730902627,3.70370245865192e-07,4.67569851853228e-05
DIATSA_LOCUS12916,control,infected,212.039275023823,545.444544656369,378.741909840096,-1.36421286117399,0.115323115619279,-11.829483220673,0.0007937472621436,0.0380410724894007
DIATSA_LOCUS9998,control,infected,750.040479835569,1948.21469635252,1349.12758809405,-1.37236118573158,0.0982536100513097,-13.9675395643468,7.53853807794982e-05,0.00530877184917936
DIATSA_LOCUS2216,control,infected,264.974257059973,726.208050668785,495.591153864379,-1.45607711260376,0.1110735669008,-13.1091235586608,2.01213815940127e-05,0.00165711090220772
DIATSA_LOCUS6668,control,infected,158.742805643354,436.748292550771,297.745549097062,-1.458350696274,0.129538481845693,-11.2580499284466,0.000201328528896311,0.012117168204271
DIATSA_LOCUS1503,control,infected,309.394888349858,862.448269725022,585.92157903744,-1.46585016336672,0.117033268411994,-12.5250724281789,3.43861737267671e-05,0.0026967096243901
DIATSA_LOCUS1147,control,infected,298.966837789945,832.864661715299,565.915749752622,-1.48309194252122,0.130544311343761,-11.3608316383531,0.000107546239042942,0.00722301638821806
DIATSA_LOCUS9980,control,infected,158.928599440053,451.247130057687,305.08786474887,-1.49226029799694,0.135625830959643,-11.0027734940919,0.00014195963850091,0.008960769376594
DIATSA_LOCUS12905,control,infected,834.477056507202,2353.57856350136,1594.02781000428,-1.49767803172046,0.0787076304569057,-19.0283714936695,1.28164515245233e-10,2.55145973426663e-08
DIATSA_LOCUS2952,control,infected,243.208913779024,690.545897539184,466.877405659104,-1.50719099297613,0.108762439305949,-13.8576424231936,1.55595491737536e-06,0.000178287242065754
DIATSA_LOCUS6469,control,infected,16675.0864652779,47437.492494975,32056.2894801265,-1.50819219855671,0.0686858720162739,-21.9578226829437,6.87165812096759e-14,2.22298140213302e-11
