sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SoffiXsponR570.10us89g084100.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,269.992977692167,837.266940920724,553.629959306446,-1.63160740994792,0.155869798732541,-10.4677584959715,2.53748297690648e-05,0.0314452227798426
SoffiXsponR570.10Dg066300.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,228.083099378696,722.622648820684,475.35287409969,-1.66240667915323,0.169842164036044,-9.78795041024342,4.80703383838529e-05,0.0459021389753463
SoffiXsponR570.02Fg114300.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,366.473692507833,1169.62657008564,768.050131296738,-1.67550820093808,0.16627952261747,-10.0764554442018,2.42764501139736e-05,0.0304509579624739
SoffiXsponR570.10Dg065900.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,331.049275913626,1062.53196326444,696.790619589031,-1.68108828300907,0.171212142049962,-9.81874452875255,3.474324020552e-05,0.0372244866101976
SoffiXsponR570.05Cg292800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,137.475065350973,461.484165395831,299.479615373402,-1.74583952397951,0.191595356953512,-9.11211812091623,4.95499946140946e-05,0.0461642402326447
SoffiXsponR570.01Ag488600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,366.917774281092,1263.30051195409,815.109143117593,-1.78453193506783,0.177479110380154,-10.0548843818601,4.92549771214717e-06,0.00938179616075203
SoffiXsponR570.5_9Ag211700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,250.324914121592,866.324434482959,558.324674302275,-1.79334803858552,0.200924160023403,-8.9254972541711,3.93220313271808e-05,0.0404450685418851
SoffiXsponR570.03Dg010600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,2132.84828070317,7405.06708543001,4768.95768306659,-1.79587238510978,0.190092857014483,-9.44734280558978,1.41484950138156e-05,0.020789394330586
SoffiXsponR570.05Ag187000.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,836.963992274141,2983.48402697318,1910.22400962366,-1.8341973856532,0.214365650484104,-8.55639595947867,4.98194628006491e-05,0.0461642402326447
SoffiXsponR570.02Ag052700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,326.843092723511,1167.45745162208,747.150272172793,-1.83700572077834,0.179970104945483,-10.2072826002675,1.65321564945091e-06,0.00404864640095055
