sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SoffiXsponR570.05Fg297300.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,94.6860562052678,0.657551771450205,47.671803988359,7.13451416593273,1.09598566742399,6.50967834524856,1.0888505095748e-08,7.46632053418836e-05
SoffiXsponR570.06Eg131800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,51.7099645956102,0.651406339056455,26.1806854673333,6.23324031561653,1.14896914120837,5.42507199894073,2.62284095162001e-06,0.00599499842044061
SoffiXsponR570.02Gg169700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,41.4553552410096,0.533403269931951,20.9943792554708,6.05078961556587,1.21506658754511,4.97980084185404,1.61400272561621e-05,0.0224337654521595
SoffiXsponR570.10Bg141800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,81.4562311905181,1.93615281096946,41.6961920007438,5.32808003139903,0.812223847370251,6.55986653020572,4.94648791403242e-08,0.000231261800402599
SoffiXsponR570.1os2g002800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,106.859125200764,3.11576526980998,54.9874452352871,5.09889584923525,0.817581455447261,6.23656005803835,2.67326794814718e-07,0.00101837647435047
SoffiXsponR570.07Dg092200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,69.5932849778107,2.04565621884635,35.8194705983285,4.90384885569368,0.81895449741545,5.98793812253283,9.35554405897323e-07,0.00246736881981987
SoffiXsponR570.1Z201400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,71.0111710556854,3.03841922894727,37.0247951423163,4.52425287819137,0.66882495680565,6.76447975236972,6.84649483499521e-08,0.000306175249020986
SoffiXsponR570.10Ag144400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,159.313204887165,7.77503580965011,83.5441203484073,4.34186541774509,0.427113645496494,10.16559752545,2.55244121071395e-15,8.75112977230647e-11
SoffiXsponR570.07Bg206500.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,57.3887804201902,3.55559626531212,30.4721883427512,4.03179299761112,0.750668488413531,5.3709367848009,2.6863736086238e-05,0.0321290283591406
SoffiXsponR570.04Eg046200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,63.2660254401067,3.94586961768536,33.605947528896,3.93676391451543,0.692786128092243,5.68250973118684,1.12227431341564e-05,0.0180363510594811
SoffiXsponR570.07Bg093800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,106.450878088711,7.80550157039997,57.1281898295553,3.78355893307155,0.629627519491165,6.00920197409612,4.91313736535471e-06,0.00938179616075203
SoffiXsponR570.9us90g063900.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,75.4635336601046,6.26229971666311,40.8629166883839,3.59191134672953,0.584000173160953,6.15053130427682,4.53565131505983e-06,0.00897151830118835
SoffiXsponR570.02Ag299800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,75.419699818552,6.49910719187378,40.9594035052129,3.52766234226985,0.548412179464565,6.4325018195512,2.02250874440529e-06,0.00472788998669434
SoffiXsponR570.02Gg194900.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,182.575985205695,18.6433011904513,100.609643198073,3.28396000457477,0.479799998832232,6.8444352075187,9.66845794893599e-07,0.0024861472769894
SoffiXsponR570.04Ag236200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,225.882585547161,25.5841473890693,125.733366468115,3.14593125150517,0.419076534995025,7.50681794088644,1.522672163407e-07,0.00060236910784381
SoffiXsponR570.05Bg053600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,494.075509457583,96.1368114698089,295.106160463696,2.36394826875623,0.350702354485792,6.74061134326373,5.0289571317829e-05,0.046183787030952
SoffiXsponR570.04Ag260000.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1819.08171762999,482.670074948302,1150.87589628915,1.91489466828285,0.223255539382996,8.57714291692374,2.08393973705144e-05,0.0271323677967294
SoffiXsponR570.02Ag250700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1302.43054002542,393.026070720508,847.728305372962,1.72856392878283,0.180964749421821,9.55193723808399,2.83669458329018e-05,0.0327832649504376
